"STATE","YEAR","AGI","marriage_rate","elder_rate","tax","charity","add_med","edu","retire","child","population","growth_rate"
"ID",2015,21979137.3581709,0.45754200778512,0.250799983376969,969635.822175124,567911.448669465,6242.98995691864,2083.46515397083,5745.48774744075,8077.82775076535,1443780,0.479215180313424
"ID",2016,23381072.3586549,0.457336938154782,0.256627238932072,1064223.08417033,654699.54049341,6610.31522135857,2222.02744846232,6335.36760392024,8559.39207840487,1479500,0.469775069119125
"ID",2017,25285230.8210174,0.454727514283657,0.260338880998973,1192163.38610051,675413.754327637,8006.78162529369,2183.21491914108,6469.33110597721,8764.19967015059,1527970,0.456274685944875
"ID",2018,27827448.6580674,0.452629563441409,0.265688026550932,282700.041230534,461710.944013275,8845.48122287465,2194.7743170794,7274.90926091396,9165.45950344651,1566800,0.476766064988609
"ID",2019,30062277.3179414,0.442087705464912,0.264001940923152,301243.377746103,501704.568908837,9801.09538424213,2325.04733426336,7768.8606477831,9399.36463274095,1648700,0.519783151035395
"ID",2020,33932175.0621269,0.431796855660904,0.267683309442804,296209.310294803,610119.402811599,12736.4571611143,2254.92718281724,7286.13817361219,8022.9935524354,1737090,0.590234638296322
"ID",2021,40632079.4693257,0.436123551410499,0.273471766932915,294578.274095064,737378.153942934,16635.8873332102,2084.69622327901,7142.95122120135,1707.88400318574,1732720,0.676190432045833
"IL",2013,220866723.669994,0.358524199721671,0.231834026419872,13823732.6952599,4210787.14432958,148441.360224827,23607.9515595777,27790.786676589,80610.8522716283,12201380,0.125444922116295
"IL",2014,234188377.147574,0.356531688389215,0.23207353325311,13891863.7794029,4550004.47135837,166181.778322359,22872.1084722016,29768.966192908,80649.0912518288,12262220,0.210445827023484
"IL",2015,243731967.550149,0.353590366724954,0.230409081503901,13109203.3858617,4653500.89126457,186511.599995943,22752.5638606129,31533.5832334601,83152.3297984818,12323950,0.266740749912044
"IL",2016,241603234.209757,0.353066632568837,0.23597255452579,12846104.2161843,4954016.23329637,184633.804436652,22935.0686522095,34249.3124361178,84124.7224117001,12200190,0.281401599560519
"IL",2017,251949014.211197,0.350373811572864,0.24124530441273,14752196.5693715,4988362.10459627,195329.260434706,22142.0996757445,34476.3429171578,85783.212956354,12258850,0.316884276869035
"IL",2018,270114842.184999,0.349161778266073,0.246747333451047,3471167.45573136,4016996.9451371,220445.172762453,21478.5196745862,38305.4441332653,86059.6034379026,12233040,0.34140187681692
"IL",2019,267758914.823131,0.340420517986683,0.247104525378627,3120960.22422092,3306639.6756372,220182.878573893,21881.2403855342,40226.7889643991,85186.3624295263,12348580,0.37530568445297
"IL",2020,274756755.78069,0.332170716505957,0.254663898405339,2715957.8173932,3496846.43591541,231358.190733735,21236.5541355204,38641.5683870379,62658.671680766,12595150,0.431732505664736
"IL",2021,324829329.473359,0.331836673195721,0.258566838648201,2523472.64909333,5038895.86122027,301124.56912884,20074.374276069,37080.9527896436,30056.0857917734,12278450,0.51777371238377
"IN",2013,88925227.4148849,0.3915445127103,0.257190587415408,3112865.41857287,1609754.86083554,29042.5581770009,9359.33218220148,17912.7832990181,33113.7301085236,6095450,0.271340145822587
"IN",2014,93201537.1108108,0.387160740038197,0.257133515967585,3192939.6593726,1680934.59146864,30710.8980985851,9011.25977341527,19454.6700912055,33487.6414563006,6157520,0.288977378554815
